geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,weighted_NoL,weighted_NoV,weighted_NoL_NoV,near_specular_metal,strong_surface_highlight,dark_panel_increment
sp7_vm7,7,-7,B_y35_p45_r-20,yaw035_pitch+045_roll-020,35.0,45.0,-20.0,0.07091349,jinshuzhuti,98.21,0.000,12.107,21.474,0.42,1.2755e-01,0.7666,0.8779,0.6725,0,0,0
sp7_vm7,7,-7,B_y35_p60_r+0,yaw035_pitch+060_roll+000,35.0,60.0,0.0,0.03003363,jinshuzhuti,98.13,0.000,19.741,39.482,0.95,8.4284e-03,0.6024,0.9525,0.5671,0,0,0
sp7_vm7,7,-7,B_y35_p60_r+20,yaw035_pitch+060_roll+020,35.0,60.0,20.0,0.02053242,jinshuzhuti,95.09,0.019,17.311,34.622,0.62,4.6281e-03,0.5135,0.7632,0.3102,0,0,0
sp7_vm7,7,-7,B_y35_p60_r-20,yaw035_pitch+060_roll-020,35.0,60.0,-20.0,0.17062113,jinshuzhuti,99.33,0.000,7.467,13.436,87.96,4.3840e-01,0.7980,0.8769,0.6997,0,1,0
sp7_vm7,7,-7,B_y35_p75_r+0,yaw035_pitch+075_roll+000,35.0,75.0,0.0,0.03077061,jinshuzhuti,98.05,0.000,19.557,39.113,0.97,1.0666e-02,0.6049,0.9519,0.5700,0,0,0
sp7_vm7,7,-7,B_y35_p75_r+20,yaw035_pitch+075_roll+020,35.0,75.0,20.0,0.01962470,jinshuzhuti,94.99,0.000,17.053,34.106,0.22,4.3871e-03,0.5152,0.7608,0.3012,0,0,0
sp7_vm7,7,-7,B_y35_p75_r-20,yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.27080871,jinshuzhuti,99.48,0.000,3.648,7.184,87.86,7.4793e-01,0.8119,0.8757,0.7110,0,1,0
sp7_vm7,7,-7,B_y55_p45_r+0,yaw055_pitch+045_roll+000,55.0,45.0,0.0,0.22385379,jinshuzhuti,99.36,0.000,5.407,10.009,87.95,6.1124e-01,0.8064,0.8766,0.7068,0,1,0
sp7_vm7,7,-7,B_y55_p45_r+20,yaw055_pitch+045_roll+020,55.0,45.0,20.0,0.02944205,jinshuzhuti,98.06,0.000,21.747,41.132,0.76,7.4613e-03,0.6128,0.9203,0.5587,0,0,0
sp7_vm7,7,-7,B_y55_p45_r-20,yaw055_pitch+045_roll-020,55.0,45.0,-20.0,0.04967633,jinshuzhuti,98.04,0.000,13.847,26.649,0.18,6.5412e-02,0.9219,0.7050,0.6484,0,0,0
sp7_vm7,7,-7,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.22555675,jinshuzhuti,99.51,0.000,5.385,9.966,87.86,6.1123e-01,0.8065,0.8764,0.7067,0,1,0
sp7_vm7,7,-7,B_y55_p60_r+20,yaw055_pitch+060_roll+020,55.0,60.0,20.0,0.02905359,jinshuzhuti,98.11,0.000,21.329,41.530,0.79,7.3740e-03,0.5971,0.9384,0.5540,0,0,0
sp7_vm7,7,-7,B_y55_p60_r-20,yaw055_pitch+060_roll-020,55.0,60.0,-20.0,0.04566801,jinshuzhuti,98.14,0.000,14.247,28.354,0.28,5.3721e-02,0.9378,0.6839,0.6396,0,0,0
sp7_vm7,7,-7,B_y55_p75_r+0,yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.22570125,jinshuzhuti,99.43,0.000,5.391,9.980,83.33,5.7956e-01,0.8062,0.8762,0.7065,0,1,0
sp7_vm7,7,-7,B_y55_p75_r+20,yaw055_pitch+075_roll+020,55.0,75.0,20.0,0.02939653,jinshuzhuti,98.15,0.000,20.749,41.229,0.87,8.1276e-03,0.5920,0.9506,0.5578,0,0,0
sp7_vm7,7,-7,B_y55_p75_r-20,yaw055_pitch+075_roll-020,55.0,75.0,-20.0,0.04006228,jinshuzhuti,97.93,0.000,15.212,30.351,0.18,3.4282e-02,0.9408,0.6685,0.6274,0,0,0
sp7_vm7,7,-7,B_y75_p45_r+0,yaw075_pitch+045_roll+000,75.0,45.0,0.0,0.03613577,jinshuzhuti,98.00,0.000,15.408,29.989,0.70,2.6012e-02,0.9266,0.6761,0.6230,0,0,0
sp7_vm7,7,-7,B_y75_p45_r+20,yaw075_pitch+045_roll+020,75.0,45.0,20.0,0.03344877,jinshuzhuti,97.84,0.000,17.564,29.653,0.00,1.2154e-02,0.7810,0.8043,0.6269,0,0,0
sp7_vm7,7,-7,B_y75_p45_r-20,yaw075_pitch+045_roll-020,75.0,45.0,-20.0,0.02092562,jinshuzhuti,95.01,0.000,28.836,57.468,0.09,2.5399e-03,0.9610,0.4718,0.4434,0,0,0
sp7_vm7,7,-7,B_y75_p60_r+0,yaw075_pitch+060_roll+000,75.0,60.0,0.0,0.03574945,jinshuzhuti,97.80,0.000,15.623,30.474,0.31,1.9072e-02,0.9254,0.6702,0.6189,0,0,0
sp7_vm7,7,-7,B_y75_p60_r+20,yaw075_pitch+060_roll+020,75.0,60.0,20.0,0.05221445,jinshuzhuti,98.40,0.000,13.520,23.106,0.15,5.7961e-02,0.7822,0.8412,0.6588,0,0,0
sp7_vm7,7,-7,B_y75_p60_r-20,yaw075_pitch+060_roll-020,75.0,60.0,-20.0,0.02012681,jinshuzhuti,95.14,0.000,29.509,59.015,0.07,3.2360e-03,0.9475,0.4509,0.4134,0,0,0
sp7_vm7,7,-7,B_y75_p75_r+0,yaw075_pitch+075_roll+000,75.0,75.0,0.0,0.03602674,jinshuzhuti,97.88,0.000,15.883,31.063,0.03,2.0770e-02,0.9247,0.6634,0.6151,0,0,0
sp7_vm7,7,-7,B_y75_p75_r+20,yaw075_pitch+075_roll+020,75.0,75.0,20.0,0.11431448,jinshuzhuti,98.95,0.000,9.446,16.571,0.39,2.4272e-01,0.7912,0.8665,0.6871,0,0,0
sp7_vm7,7,-7,B_y75_p75_r-20,yaw075_pitch+075_roll-020,75.0,75.0,-20.0,0.02034848,jinshuzhuti,93.51,0.000,29.382,58.602,0.16,6.9119e-03,0.9289,0.4471,0.3988,0,0,0
