rank,geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,is_new_pose,on_grid_edge,camera_exr_src,sun_exr_src,ocs_total,ocs_metal,ocs_dark,ocs_solar,n_pixels_contributing,image_usable,anchor_ref,anchor_ref_ocs_total,anchor_rel_diff,status,failed_reason
24,sp9_vm5,9,-5,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,28/cam_vm5,28/sun_sp9,0.13476616144180298,0.12485251575708389,0.008364119566977024,0.001549514359794557,4050,True,,,,COMPLETE,
25,sp7_vm7,7,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,REUSED_26/G4_view_minus,REUSED_26/G1_sun_plus,0.13269323110580444,0.1230347529053688,0.008292690850794315,0.0013657899107784033,3981,True,27/Hsp_vm,0.13269323110580444,0.0,COMPLETE,
26,sp5_vm9,5,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,28/cam_vm9,28/sun_sp5,0.13224726915359497,0.12264504283666611,0.008235190995037556,0.0013670403277501464,3935,True,,,,COMPLETE,
27,sp7_vm5,7,-5,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,28/cam_vm5,REUSED_26/G1_sun_plus,0.12090028822422028,0.11849131435155869,0.0009267220739275217,0.0014822471421211958,3421,True,,,,COMPLETE,
28,sp5_vm7,5,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,REUSED_26/G4_view_minus,28/sun_sp5,0.11942942440509796,0.11679229140281677,0.0008726808009669185,0.0017644373001530766,2635,True,,,,COMPLETE,
29,sp5_vm7,5,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,REUSED_26/G4_view_minus,28/sun_sp5,0.1182728186249733,0.10862184315919876,0.008152894675731659,0.00149808160495013,4009,True,,,,COMPLETE,
30,sp7_vm5,7,-5,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,28/cam_vm5,REUSED_26/G1_sun_plus,0.11815372854471207,0.10850178450345993,0.008248284459114075,0.0014036590000614524,4053,True,,,,COMPLETE,
31,sp9_vm7,9,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,REUSED_26/G4_view_minus,28/sun_sp9,0.11422841995954514,0.10472437739372253,0.008184882812201977,0.0013191571924835443,3985,True,,,,COMPLETE,
32,sp7_vm9,7,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,28/cam_vm9,REUSED_26/G1_sun_plus,0.11403992772102356,0.10457935929298401,0.008138415403664112,0.0013221519766375422,3953,True,,,,COMPLETE,
33,sp5_vm5,5,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm5,28/sun_sp5,0.1078813225030899,0.09851036965847015,0.008054965175688267,0.0013159927912056446,3991,True,,,,COMPLETE,
