geom_id,phase_angle_deg,n_attitude,flux_mean,flux_std,flux_min,flux_max,flux_p05,flux_p50,flux_p95,pix_mean,pix_std,pix_min,pix_max,pix_p50
phase24,23.6,2664,0.039387567753291074,0.02107864873002561,0.021640436723828316,0.2546858787536621,0.02487068697810173,0.03451027162373066,0.06642845831811428,5179.087087087087,744.8182764529626,2683.0,6391.0,5335.0
phase45,45.0,2664,0.032158171379094096,0.02863310493996681,0.017421554774045944,0.22813281416893005,0.019951856508851052,0.023790648207068443,0.08971507437527176,3652.586711711712,520.2647577500851,2233.0,4485.0,3739.5
phase63,63.11,2664,0.027048851851324787,0.01826981969240467,0.010628318881470561,0.17788063395501874,0.014303735955013483,0.020761410265805746,0.0619534948301948,3940.9054054054054,994.8440659351279,1482.0,5923.0,3958.5
phase90,90.0,2664,0.027676560112046025,0.042042708239695595,0.0006614666781388223,0.22976502776145935,0.0027597560430876913,0.012648336123675108,0.12995240166783326,2642.7665165165167,1249.640423172684,122.0,4741.0,2836.5
phase120,120.0,2664,0.011729926269095655,0.021220890506889363,0.00010835717694135383,0.11535507440567017,0.00032515145430807025,0.00399913196451962,0.06434296928346155,1286.323948948949,1163.529676607076,39.0,3813.0,999.0
